,Race,Sex,Region,State,Race Victim,Sex Victim,Race2,Race3,Race4,Victim
429,Other,Male,South,Florida,White,Male,White,White Male,White Male,1
430,White,Male,South,Florida,Latino,Male,Other,Other Male,Latino Male,1
431,White,Male,Midwest,Missouri,Black,Male,Other,Other Male,Black Male,1
432,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
433,Other,Male,South,Texas,Asian,Male,Other,Other Male,Asian Male,1
434,Other,Male,South,Texas,Asian,Male,Other,Other Male,Asian Male,1
435,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
436,White,Male,South,Texas,White,Male,White,White Male,White Male,1
437,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
438,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
439,White,Male,South,Delaware,White,Male,White,White Male,White Male,1
440,White,Male,South,Delaware,White,Female,White,White Female,White Female,1
441,White,Male,West,Utah,White,Female,White,White Female,White Female,1
442,Other,Male,South,Delaware,Black,Male,Other,Other Male,Black Male,1
443,Other,Male,South,Delaware,Black,Female,Other,Other Female,Black Female,1
444,White,Male,South,Texas,White,Male,White,White Male,White Male,1
445,White,Male,South,Texas,White,Female,White,White Female,White Female,1
446,Other,Male,South,Alabama,White,Female,White,White Female,White Female,1
447,White,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
448,White,Male,West,California,White,Male,White,White Male,White Male,1
449,White,Male,West,California,White,Male,White,White Male,White Male,1
450,White,Male,West,California,White,Male,White,White Male,White Male,1
451,White,Male,West,California,White,Male,White,White Male,White Male,1
452,Other,Male,South,Texas,Black,Female,Other,Other Female,Black Female,1
453,Other,Male,South,Louisiana,White,Male,White,White Male,White Male,1
454,White,Male,West,Nevada,White,Male,White,White Male,White Male,1
455,White,Male,West,Nevada,White,Female,White,White Female,White Female,1
456,White,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
457,White,Male,South,Delaware,White,Male,White,White Male,White Male,1
458,White,Male,South,Delaware,White,Female,White,White Female,White Female,1
459,White,Male,South,Oklahoma,White,Female,White,White Female,White Female,1
460,White,Male,West,California,Latino,Male,Other,Other Male,Latino Male,1
461,White,Male,West,California,Latino,Male,Other,Other Male,Latino Male,1
462,White,Male,West,California,Latino,Female,Other,Other Female,Latino Female,1
463,White,Male,South,South Carolina,White,Male,White,White Male,White Male,1
464,White,Male,West,Arizona,White,Female,White,White Female,White Female,1
465,White,Male,Midwest,Nebraska,White,Male,White,White Male,White Male,1
466,White,Male,Midwest,Nebraska,White,Male,White,White Male,White Male,1
467,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
468,Other,Male,Midwest,Indiana,White,Male,White,White Male,White Male,1
469,White,Male,South,South Carolina,White,Male,White,White Male,White Male,1
470,White,Male,South,South Carolina,White,Male,White,White Male,White Male,1
471,White,Male,South,South Carolina,White,Female,White,White Female,White Female,1
472,Other,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
473,Other,Male,Midwest,Missouri,Black,Female,Other,Other Female,Black Female,1
474,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
475,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
476,White,Male,South,Oklahoma,White,Male,White,White Male,White Male,1
477,White,Male,South,Oklahoma,White,Female,White,White Female,White Female,1
478,White,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
479,White,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
480,Other,Male,West,Arizona,White,Female,White,White Female,White Female,1
481,White,Male,South,South Carolina,White,Male,White,White Male,White Male,1
482,White,Male,South,South Carolina,White,Male,White,White Male,White Male,1
483,White,Male,South,South Carolina,White,Female,White,White Female,White Female,1
484,White,Male,West,Oregon,White,Male,White,White Male,White Male,1
485,White,Male,West,Oregon,White,Male,White,White Male,White Male,1
486,White,Male,West,Oregon,White,Male,White,White Male,White Male,1
487,Other,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
488,Other,Male,Midwest,Illinois,Black,Male,Other,Other Male,Black Male,1
489,Other,Male,Midwest,Illinois,Black,Male,Other,Other Male,Black Male,1
490,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
491,White,Male,South,South Carolina,White,Female,White,White Female,White Female,1
492,White,Male,South,South Carolina,White,Female,White,White Female,White Female,1
493,Other,Male,South,Florida,White,Female,White,White Female,White Female,1
494,White,Male,South,Georgia,White,Male,White,White Male,White Male,1
495,White,Male,South,Georgia,White,Male,White,White Male,White Male,1
496,White,Male,South,Georgia,White,Female,White,White Female,White Female,1
497,White,Male,South,South Carolina,White,Male,White,White Male,White Male,1
498,White,Male,South,South Carolina,White,Female,White,White Female,White Female,1
499,White,Male,South,Georgia,White,Female,White,White Female,White Female,1
500,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
501,Other,Male,South,South Carolina,Black,Female,Other,Other Female,Black Female,1
502,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
503,Other,Male,South,Florida,White,Male,White,White Male,White Male,1
504,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
505,White,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
506,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
507,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
508,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
509,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
510,Other,Male,South,Arkansas,White,Male,White,White Male,White Male,1
511,Other,Male,South,Arkansas,White,Male,White,White Male,White Male,1
512,Other,Male,South,Arkansas,White,Female,White,White Female,White Female,1
513,White,Male,South,Alabama,White,Male,White,White Male,White Male,1
514,White,Male,West,Arizona,White,Male,White,White Male,White Male,1
515,White,Male,West,Arizona,White,Male,White,White Male,White Male,1
516,White,Male,West,Arizona,White,Female,White,White Female,White Female,1
517,White,Male,West,Arizona,White,Female,White,White Female,White Female,1
518,White,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
519,White,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
520,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
521,White,Male,South,Texas,White,Female,White,White Female,White Female,1
522,Other,Male,South,Virginia,White,Male,White,White Male,White Male,1
523,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
524,Other,Male,South,Florida,Black,Female,Other,Other Female,Black Female,1
525,White,Male,South,Texas,White,Female,White,White Female,White Female,1
526,White,Male,South,Texas,White,Male,White,White Male,White Male,1
527,White,Male,South,Texas,White,Female,White,White Female,White Female,1
528,White,Male,South,Texas,White,Female,White,White Female,White Female,1
529,White,Male,South,Texas,White,Female,White,White Female,White Female,1
530,White,Male,South,Texas,White,Male,White,White Male,White Male,1
531,White,Male,South,Texas,White,Female,White,White Female,White Female,1
532,White,Male,South,Louisiana,White,Male,White,White Male,White Male,1
533,White,Male,South,Texas,White,Male,White,White Male,White Male,1
534,White,Male,South,Texas,White,Female,White,White Female,White Female,1
535,Other,Male,South,Alabama,Black,Male,Other,Other Male,Black Male,1
536,Other,Male,South,Alabama,Black,Male,Other,Other Male,Black Male,1
537,Other,Male,South,Alabama,Black,Female,Other,Other Female,Black Female,1
538,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
539,Other,Male,South,Oklahoma,White,Male,White,White Male,White Male,1
540,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
541,White,Male,West,Oregon,White,Male,White,White Male,White Male,1
542,White,Male,West,Oregon,White,Female,White,White Female,White Female,1
543,White,Male,South,Texas,White,Female,White,White Female,White Female,1
544,White,Male,South,Texas,White,Male,White,White Male,White Male,1
545,White,Male,South,Texas,White,Female,White,White Female,White Female,1
546,White,Male,South,Texas,White,Female,White,White Female,White Female,1
547,White,Male,South,Texas,White,Female,White,White Female,White Female,1
548,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
549,White,Male,South,Texas,White,Female,White,White Female,White Female,1
550,White,Male,South,Texas,White,Male,White,White Male,White Male,1
551,White,Male,South,Texas,White,Male,White,White Male,White Male,1
552,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
553,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
554,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
555,Other,Male,South,Texas,Latino,Female,Other,Other Female,Latino Female,1
556,White,Male,South,Alabama,Black,Male,Other,Other Male,Black Male,1
557,White,Male,South,Texas,White,Male,White,White Male,White Male,1
558,White,Male,South,Texas,White,Female,White,White Female,White Female,1
559,White,Male,South,South Carolina,White,Female,White,White Female,White Female,1
560,White,Male,South,Texas,White,Male,White,White Male,White Male,1
561,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
562,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
563,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
564,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
565,White,Male,West,Arizona,White,Female,White,White Female,White Female,1
566,White,Male,South,Kentucky,White,Female,White,White Female,White Female,1
567,Other,Male,South,Maryland,White,Male,White,White Male,White Male,1
568,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
569,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
570,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
571,White,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
572,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
573,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
574,White,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
575,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
576,White,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
577,Other,Male,South,Texas,Black,Male,Other,Other Male,Black Male,1
578,Other,Male,South,Texas,Black,Male,Other,Other Male,Black Male,1
579,Other,Male,South,Texas,Black,Female,Other,Other Female,Black Female,1
580,Other,Male,South,Virginia,White,Male,White,White Male,White Male,1
581,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
582,Other,Male,Midwest,Missouri,Black,Male,Other,Other Male,Black Male,1
583,White,Male,South,Texas,White,Female,White,White Female,White Female,1
584,White,Male,South,Texas,White,Female,White,White Female,White Female,1
585,White,Male,South,Texas,White,Female,White,White Female,White Female,1
586,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
587,White,Male,South,Texas,White,Male,White,White Male,White Male,1
588,White,Male,West,Colorado,White,Female,White,White Female,White Female,1
589,White,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
590,Other,Male,South,Texas,Latino,Male,Other,Other Male,Latino Male,1
591,Other,Male,South,Texas,Asian,Female,Other,Other Female,Asian Female,1
592,White,Male,South,Texas,White,Female,White,White Female,White Female,1
593,Other,Male,South,South Carolina,White,Female,White,White Female,White Female,1
594,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
595,Other,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
596,Other,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
597,Other,Male,Midwest,Illinois,Black,Male,Other,Other Male,Black Male,1
598,White,Male,South,Texas,White,Female,White,White Female,White Female,1
599,White,Male,South,Texas,White,Female,White,White Female,White Female,1
600,Other,Male,Midwest,Indiana,Black,Male,Other,Other Male,Black Male,1
601,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
602,Other,Male,Midwest,Nebraska,White,Female,White,White Female,White Female,1
603,White,Male,South,Texas,White,Male,White,White Male,White Male,1
604,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
605,White,Male,South,Virginia,Black,Female,Other,Other Female,Black Female,1
606,White,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
607,Other,Male,West,Arizona,White,Male,White,White Male,White Male,1
608,Other,Male,West,Arizona,Latino,Female,Other,Other Female,Latino Female,1
609,White,Male,Midwest,Indiana,White,Male,White,White Male,White Male,1
610,White,Male,South,North Carolina,White,Female,White,White Female,White Female,1
611,White,Female,South,Texas,White,Male,White,White Male,White Male,1
612,White,Female,South,Texas,White,Female,White,White Female,White Female,1
613,White,Male,South,Texas,White,Male,White,White Male,White Male,1
614,White,Male,South,Texas,White,Female,White,White Female,White Female,1
615,White,Male,South,Texas,White,Female,White,White Female,White Female,1
616,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
617,White,Male,South,Oklahoma,White,Male,White,White Male,White Male,1
618,White,Male,South,Oklahoma,White,Female,White,White Female,White Female,1
619,White,Male,West,Montana,White,Male,White,White Male,White Male,1
620,White,Male,West,Montana,White,Female,White,White Female,White Female,1
621,Other,Male,Midwest,Missouri,Black,Male,Other,Other Male,Black Male,1
622,Other,Male,Midwest,Missouri,Black,Male,Other,Other Male,Black Male,1
623,White,Male,South,South Carolina,Black,Female,Other,Other Female,Black Female,1
624,White,Male,South,Texas,White,Female,White,White Female,White Female,1
625,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
626,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
627,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
628,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
629,White,Male,South,Florida,White,Female,White,White Female,White Female,1
630,Other,Male,South,Florida,White,Male,White,White Male,White Male,1
631,Other,Male,Midwest,Missouri,Black,Male,Other,Other Male,Black Male,1
632,Other,Male,South,Virginia,White,Male,White,White Male,White Male,1
633,White,Female,South,Florida,White,Male,White,White Male,White Male,1
634,Other,Male,South,Florida,White,Female,White,White Female,White Female,1
635,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
636,White,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
637,Other,Male,West,Arizona,Latino,Female,Other,Other Female,Latino Female,1
638,White,Male,South,Texas,White,Female,White,White Female,White Female,1
639,White,Male,South,Texas,White,Female,White,White Female,White Female,1
640,White,Male,West,Arizona,White,Male,White,White Male,White Male,1
641,White,Male,South,Texas,White,Female,White,White Female,White Female,1
642,White,Male,South,Alabama,White,Female,White,White Female,White Female,1
643,Other,Male,South,Texas,Latino,Female,Other,Other Female,Latino Female,1
644,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
645,White,Male,West,Arizona,White,Male,White,White Male,White Male,1
646,White,Male,West,Arizona,White,Female,White,White Female,White Female,1
647,White,Male,South,Georgia,White,Male,White,White Male,White Male,1
648,White,Male,South,Georgia,White,Female,White,White Female,White Female,1
649,White,Male,South,Texas,White,Male,White,White Male,White Male,1
650,White,Male,South,Texas,White,Male,White,White Male,White Male,1
651,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
652,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
653,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
654,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
655,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
656,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
657,White,Male,South,South Carolina,Black,Female,Other,Other Female,Black Female,1
658,White,Male,West,California,White,Female,White,White Female,White Female,1
659,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
660,White,Male,South,Oklahoma,White,Male,White,White Male,White Male,1
661,White,Male,South,North Carolina,White,Male,White,White Male,White Male,1
662,Other,Male,South,Virginia,White,Male,White,White Male,White Male,1
663,Other,Male,South,Texas,Black,Male,Other,Other Male,Black Male,1
664,Other,Male,South,Virginia,White,Male,White,White Male,White Male,1
665,White,Male,South,Texas,White,Male,White,White Male,White Male,1
666,Other,Male,South,Texas,Latino,Male,Other,Other Male,Latino Male,1
667,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
668,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
669,White,Male,South,South Carolina,White,Male,White,White Male,White Male,1
670,White,Male,South,South Carolina,White,Male,White,White Male,White Male,1
671,White,Male,South,South Carolina,Black,Female,Other,Other Female,Black Female,1
672,Other,Male,South,Texas,Black,Male,Other,Other Male,Black Male,1
673,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
674,Other,Male,West,Nevada,White,Female,White,White Female,White Female,1
675,White,Male,South,Texas,White,Female,White,White Female,White Female,1
676,White,Male,South,Texas,White,Female,White,White Female,White Female,1
677,White,Male,West,Washington,Latino,Male,Other,Other Male,Latino Male,1
678,White,Male,West,Washington,White,Female,White,White Female,White Female,1
679,White,Male,West,Washington,White,Female,White,White Female,White Female,1
680,Other,Male,South,Virginia,Black,Female,Other,Other Female,Black Female,1
681,Other,Male,South,Virginia,Black,Male,Other,Other Male,Black Male,1
682,Other,Male,South,Virginia,Black,Male,Other,Other Male,Black Male,1
683,Other,Male,South,Maryland,White,Female,White,White Female,White Female,1
684,White,Male,South,Texas,White,Female,White,White Female,White Female,1
685,Other,Male,South,Virginia,Black,Female,Other,Other Female,Black Female,1
686,White,Male,South,North Carolina,White,Male,White,White Male,White Male,1
687,White,Male,South,North Carolina,White,Female,White,White Female,White Female,1
688,Other,Male,South,Virginia,Black,Male,Other,Other Male,Black Male,1
689,Other,Male,South,South Carolina,White,Male,White,White Male,White Male,1
690,Other,Male,South,South Carolina,White,Male,White,White Male,White Male,1
691,White,Male,South,Texas,White,Female,White,White Female,White Female,1
692,White,Male,South,Texas,White,Female,White,White Female,White Female,1
693,White,Male,South,Texas,White,Female,White,White Female,White Female,1
694,White,Male,South,Texas,White,Female,White,White Female,White Female,1
695,Other,Male,South,Oklahoma,White,Male,White,White Male,White Male,1
696,Other,Male,South,Oklahoma,White,Female,White,White Female,White Female,1
697,Other,Male,South,Oklahoma,White,Female,White,White Female,White Female,1
698,Other,Male,South,South Carolina,White,Female,White,White Female,White Female,1
699,Other,Male,South,Texas,Latino,Male,Other,Other Male,Latino Male,1
700,White,Male,South,Oklahoma,White,Female,White,White Female,White Female,1
701,Other,Male,South,South Carolina,Black,Male,Other,Other Male,Black Male,1
702,Other,Male,South,South Carolina,Black,Female,Other,Other Female,Black Female,1
703,White,Male,South,Texas,White,Female,White,White Female,White Female,1
704,Other,Male,South,Oklahoma,White,Female,White,White Female,White Female,1
705,Other,Male,South,South Carolina,Asian,Male,Other,Other Male,Asian Male,1
706,Other,Male,South,Louisiana,White,Female,White,White Female,White Female,1
707,Other,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
708,White,Male,West,Arizona,White,Female,White,White Female,White Female,1
709,White,Male,South,Texas,White,Male,White,White Male,White Male,1
710,Other,Male,South,Virginia,White,Male,White,White Male,White Male,1
711,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
712,White,Male,South,South Carolina,Black,Male,Other,Other Male,Black Male,1
713,White,Male,South,South Carolina,White,Female,White,White Female,White Female,1
714,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
715,Other,Male,West,Arizona,White,Male,White,White Male,White Male,1
716,White,Male,South,Oklahoma,White,Male,White,White Male,White Male,1
717,White,Male,South,Oklahoma,White,Male,White,White Male,White Male,1
718,White,Male,South,Oklahoma,White,Female,White,White Female,White Female,1
719,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
720,Other,Male,West,California,Asian,Male,Other,Other Male,Asian Male,1
721,Other,Male,West,California,Asian,Female,Other,Other Female,Asian Female,1
722,Other,Male,South,Texas,Latino,Male,Other,Other Male,Latino Male,1
723,White,Male,South,Texas,White,Female,White,White Female,White Female,1
724,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
725,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
726,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
727,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
728,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
729,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
730,White,Male,Midwest,Ohio,White,Male,White,White Male,White Male,1
731,White,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
732,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
733,White,Male,West,Arizona,White,Male,White,White Male,White Male,1
734,White,Male,West,Arizona,White,Male,White,White Male,White Male,1
735,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
736,White,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
737,White,Male,Midwest,Illinois,White,Female,White,White Female,White Female,1
738,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
739,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
740,White,Male,South,North Carolina,White,Male,White,White Male,White Male,1
741,White,Male,South,Texas,White,Male,White,White Male,White Male,1
742,Other,Male,West,Nevada,White,Male,White,White Male,White Male,1
743,Other,Male,West,Nevada,White,Female,White,White Female,White Female,1
744,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
745,Other,Male,South,Virginia,White,Male,White,White Male,White Male,1
746,Other,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
747,Other,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
748,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
749,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
750,White,Male,South,Delaware,White,Male,White,White Male,White Male,1
751,White,Male,South,Delaware,White,Male,White,White Male,White Male,1
752,White,Male,South,Delaware,White,Male,White,White Male,White Male,1
753,White,Male,South,Delaware,White,Male,White,White Male,White Male,1
754,Other,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
755,White,Male,South,Texas,White,Male,White,White Male,White Male,1
756,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
757,White,Male,South,Virginia,Black,Female,Other,Other Female,Black Female,1
758,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
759,Other,Male,West,California,White,Female,White,White Female,White Female,1
760,Other,Male,South,Texas,Latino,Male,Other,Other Male,Latino Male,1
761,White,Male,West,Arizona,White,Male,White,White Male,White Male,1
762,Other,Male,South,Texas,Black,Female,Other,Other Female,Black Female,1
763,White,Male,South,Kentucky,White,Male,White,White Male,White Male,1
764,White,Male,South,Kentucky,White,Female,White,White Female,White Female,1
765,Other,Male,Midwest,Missouri,Black,Female,Other,Other Female,Black Female,1
766,White,Male,South,Texas,White,Female,White,White Female,White Female,1
767,White,Male,South,Oklahoma,Latino,Male,Other,Other Male,Latino Male,1
768,Other,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
769,White,Male,West,Arizona,White,Male,White,White Male,White Male,1
770,White,Male,West,Arizona,White,Male,White,White Male,White Male,1
771,White,Male,South,Texas,White,Female,White,White Female,White Female,1
772,Other,Male,South,Alabama,White,Female,White,White Female,White Female,1
773,White,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
774,White,Male,South,Texas,White,Female,White,White Female,White Female,1
775,White,Male,Northeast,Pennsylvania,Black,Female,Other,Other Female,Black Female,1
776,White,Male,Northeast,Pennsylvania,Black,Female,Other,Other Female,Black Female,1
777,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
778,White,Male,South,Oklahoma,Black,Male,Other,Other Male,Black Male,1
779,White,Male,South,Florida,White,Female,White,White Female,White Female,1
780,White,Male,South,Florida,White,Female,White,White Female,White Female,1
781,White,Male,South,Florida,White,Female,White,White Female,White Female,1
782,White,Male,South,Virginia,Black,Female,Other,Other Female,Black Female,1
783,White,Male,South,Texas,White,Male,White,White Male,White Male,1
784,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
785,Other,Male,South,Alabama,White,Female,White,White Female,White Female,1
786,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
787,White,Male,South,Texas,White,Female,White,White Female,White Female,1
788,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
789,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
790,White,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
791,Other,Male,South,Texas,Asian,Male,Other,Other Male,Asian Male,1
792,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
793,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
794,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
795,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
796,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
797,Other,Male,South,Texas,Black,Female,Other,Other Female,Black Female,1
798,Other,Male,South,Texas,Black,Male,Other,Other Male,Black Male,1
799,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
800,White,Male,South,Texas,White,Female,White,White Female,White Female,1
801,Other,Male,South,Delaware,White,Male,White,White Male,White Male,1
802,Other,Male,South,North Carolina,White,Male,White,White Male,White Male,1
803,Other,Male,South,North Carolina,White,Female,White,White Female,White Female,1
804,White,Male,South,Texas,White,Male,White,White Male,White Male,1
805,White,Male,South,Texas,White,Female,White,White Female,White Female,1
806,White,Male,West,Utah,White,Male,White,White Male,White Male,1
807,Other,Male,South,Virginia,Black,Male,Other,Other Male,Black Male,1
808,White,Male,South,North Carolina,White,Female,White,White Female,White Female,1
809,Other,Male,West,Arizona,Latino,Female,Other,Other Female,Latino Female,1
810,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
811,Other,Male,South,Virginia,Black,Male,Other,Other Male,Black Male,1
812,Other,Male,South,South Carolina,White,Female,White,White Female,White Female,1
813,Other,Male,South,Texas,Black,Male,Other,Other Male,Black Male,1
814,Other,Male,South,Texas,Black,Female,Other,Other Female,Black Female,1
815,White,Male,South,Texas,White,Male,White,White Male,White Male,1
816,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
817,Other,Male,South,North Carolina,White,Female,White,White Female,White Female,1
818,Other,Male,South,North Carolina,White,Female,White,White Female,White Female,1
819,Other,Male,South,Oklahoma,White,Female,White,White Female,White Female,1
820,White,Male,South,South Carolina,White,Male,White,White Male,White Male,1
821,White,Male,South,Texas,White,Female,White,White Female,White Female,1
822,White,Male,South,Texas,White,Female,White,White Female,White Female,1
823,White,Male,South,Texas,White,Female,White,White Female,White Female,1
824,Other,Male,South,Oklahoma,White,Male,White,White Male,White Male,1
825,White,Male,Midwest,Indiana,White,Male,White,White Male,White Male,1
826,White,Male,Midwest,Indiana,White,Female,White,White Female,White Female,1
827,White,Male,South,Texas,White,Female,White,White Female,White Female,1
828,White,Male,South,Texas,White,Female,White,White Female,White Female,1
829,White,Male,South,Texas,White,Female,White,White Female,White Female,1
830,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
831,White,Male,South,Texas,White,Male,White,White Male,White Male,1
832,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
833,Other,Male,South,Oklahoma,White,Female,White,White Female,White Female,1
834,White,Male,South,Alabama,White,Female,White,White Female,White Female,1
835,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
836,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
837,White,Male,South,Texas,White,Female,White,White Female,White Female,1
838,White,Male,South,Texas,White,Female,White,White Female,White Female,1
839,White,Male,South,Oklahoma,White,Male,White,White Male,White Male,1
840,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
841,White,Male,South,Texas,White,Female,White,White Female,White Female,1
842,Other,Male,South,Texas,Black,Female,Other,Other Female,Black Female,1
843,White,Male,South,Texas,White,Male,White,White Male,White Male,1
844,White,Male,South,Texas,White,Male,White,White Male,White Male,1
845,White,Male,South,Texas,White,Male,White,White Male,White Male,1
846,White,Male,South,Texas,White,Female,White,White Female,White Female,1
847,White,Male,South,Texas,White,Female,White,White Female,White Female,1
848,White,Male,South,Texas,White,Male,White,White Male,White Male,1
849,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
850,White,Male,South,Texas,White,Male,White,White Male,White Male,1
851,Other,Male,South,Oklahoma,Black,Female,Other,Other Female,Black Female,1
852,White,Male,West,Arizona,White,Male,White,White Male,White Male,1
853,White,Male,South,Florida,White,Male,White,White Male,White Male,1
854,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
855,White,Male,South,Florida,White,Male,White,White Male,White Male,1
856,White,Female,South,Texas,White,Male,White,White Male,White Male,1
857,Other,Male,South,Texas,Black,Female,Other,Other Female,Black Female,1
858,Other,Male,South,Alabama,White,Male,White,White Male,White Male,1
859,Other,Male,South,Alabama,White,Female,White,White Female,White Female,1
